id,toxic,severe_toxic,obscene,threat,insult,identity_hate
0001b41b1c6bb37e,0.5,0.5,0.5,0.5,0.5,0.5
0005300084f90edc,0.5,0.5,0.5,0.5,0.5,0.5
0006f16e4e9f292e,0.5,0.5,0.5,0.5,0.5,0.5
000897889268bc93,0.5,0.5,0.5,0.5,0.5,0.5
000cfee90f50d471,0.5,0.5,0.5,0.5,0.5,0.5
0010307a3a50a353,0.5,0.5,0.5,0.5,0.5,0.5
001363e1dbe91225,0.5,0.5,0.5,0.5,0.5,0.5
001956c382006abd,0.5,0.5,0.5,0.5,0.5,0.5
001d874a4d3e8813,0.5,0.5,0.5,0.5,0.5,0.5
0020fd96ed3b8c8b,0.5,0.5,0.5,0.5,0.5,0.5
002a6beca33307b3,0.5,0.5,0.5,0.5,0.5,0.5
002c9cccf2f1d05b,0.5,0.5,0.5,0.5,0.5,0.5
002d6c9d9f85e81f,0.5,0.5,0.5,0.5,0.5,0.5
003217c3eb469ba9,0.5,0.5,0.5,0.5,0.5,0.5
0033b9d5ccd499fb,0.5,0.5,0.5,0.5,0.5,0.5
00349c6325526c11,0.5,0.5,0.5,0.5,0.5,0.5
0035d638ba684122,0.5,0.5,0.5,0.5,0.5,0.5
0037fe4f8f5cdcfb,0.5,0.5,0.5,0.5,0.5,0.5
0038f191ffc93d75,0.5,0.5,0.5,0.5,0.5,0.5
0040017ef6277334,0.5,0.5,0.5,0.5,0.5,0.5
004176f28a17bf45,0.5,0.5,0.5,0.5,0.5,0.5
004a23742282fee4,0.5,0.5,0.5,0.5,0.5,0.5
004fd4fb5c47c29f,0.5,0.5,0.5,0.5,0.5,0.5
00521847b93eba3b,0.5,0.5,0.5,0.5,0.5,0.5
00537730daf8c5f1,0.5,0.5,0.5,0.5,0.5,0.5
0057b7710cb5ebb2,0.5,0.5,0.5,0.5,0.5,0.5
0057e30091cf3e81,0.5,0.5,0.5,0.5,0.5,0.5
00585c1da10b448b,0.5,0.5,0.5,0.5,0.5,0.5
005fb1983ff191e9,0.5,0.5,0.5,0.5,0.5,0.5
0060062dd4db5195,0.5,0.5,0.5,0.5,0.5,0.5
0066dcf7d9ecd360,0.5,0.5,0.5,0.5,0.5,0.5
006854d70298693e,0.5,0.5,0.5,0.5,0.5,0.5
006b77d41eb4bc08,0.5,0.5,0.5,0.5,0.5,0.5
006b94add72ed61c,0.5,0.5,0.5,0.5,0.5,0.5
006d11791d76b9f3,0.5,0.5,0.5,0.5,0.5,0.5
006f2c1459f3b6b1,0.5,0.5,0.5,0.5,0.5,0.5
006fda507acd9769,0.5,0.5,0.5,0.5,0.5,0.5
00733f0a4a58cf42,0.5,0.5,0.5,0.5,0.5,0.5
0082b5a7b4a67da2,0.5,0.5,0.5,0.5,0.5,0.5
0083790fbfe5014d,0.5,0.5,0.5,0.5,0.5,0.5
00908f946bd2fd05,0.5,0.5,0.5,0.5,0.5,0.5
0097dd5c29bf7a15,0.5,0.5,0.5,0.5,0.5,0.5
009a3333aa4ac011,0.5,0.5,0.5,0.5,0.5,0.5
